fitness,mosaic,mixup,hsv_s,degrees,scale,fliplr
0.92901,1.0,0.0,0.7,0.0,0.5,0.5
0.92852,0.9315,0.0,0.7,0.0,0.59504,0.5
0.93055,1.0,0.0,0.89963,0.0,0.48072,0.5
0.92801,0.93388,0.0,0.86597,0.0,0.5362,0.53432
0.93054,1.0,0.0,0.9,0.0,0.47845,0.48788
0.92911,0.93743,0.0,0.9,0.0,0.50875,0.5877
0.92922,0.93511,0.0,0.6878,0.0,0.51254,0.48894
0.92688,0.98079,0.0,0.89803,0.0,0.47845,0.48788
0.92863,0.85646,0.0,0.9,0.0,0.54536,0.49248
0.92879,0.95773,0.0,0.9,0.0,0.46214,0.55806
0.93067,0.95741,0.0,0.9,0.0,0.47983,0.43186
0.93037,1.0,0.0,0.8168,0.0,0.47983,0.43186
0.93198,0.95741,0.0,0.9,0.0,0.47983,0.31443
0.92941,0.90839,0.0,0.9,0.0,0.47845,0.45784
0.0,0.93806,0.0,0.9,0.0,0.48424,0.31443
0.92895,1.0,0.0,0.78336,0.0,0.5226,0.27111
0.93061,0.87757,0.0,0.9,0.0,0.47983,0.35897
0.93067,1.0,0.0,0.72334,0.0,0.55368,0.34275
0.93335,1.0,0.0,0.9,0.0,0.37788,0.14769
0.93173,1.0,0.0,0.61398,0.0,0.47983,0.29363
0.93424,0.97066,0.0,0.9,0.0,0.36812,0.15453
0.92982,1.0,0.0,0.9,0.0,0.49715,0.29066
0.93601,1.0,0.0,0.9,0.0,0.37932,0.14769
0.93536,1.0,0.0,0.9,0.0,0.41235,0.13538
0.93556,1.0,0.0,0.89951,0.0,0.40967,0.13672
0.93289,1.0,0.0,0.83421,0.0,0.49391,0.13538
0.93435,1.0,0.0,0.9,0.0,0.42186,0.13068
0.93363,0.90874,0.0,0.86272,0.0,0.45932,0.1279
0.93467,0.86077,0.0,0.72796,0.0,0.43246,0.15969
0.93356,0.52331,0.0,0.87774,0.0,0.41438,0.13365
